id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,kfold
13286,32,self-employed,married,tertiary,no,189,yes,no,unknown,6,jun,106,2,-1,0,unknown,0,0
8038,27,blue-collar,single,primary,no,497,yes,no,cellular,20,apr,255,2,272,1,other,0,0
25217,26,technician,married,secondary,no,915,no,no,cellular,2,jun,384,1,-1,0,unknown,1,0
20316,49,entrepreneur,married,tertiary,no,221,yes,no,unknown,15,may,305,1,-1,0,unknown,0,0
15885,28,entrepreneur,single,tertiary,no,219,yes,no,unknown,27,may,257,1,-1,0,unknown,0,0
16465,51,blue-collar,married,secondary,no,0,yes,yes,cellular,22,jul,124,2,-1,0,unknown,0,0
7539,39,management,married,tertiary,yes,47,no,no,cellular,21,nov,28,3,158,3,failure,0,0
26967,42,technician,married,secondary,no,2980,no,no,unknown,20,jun,101,3,-1,0,unknown,0,0
9422,46,services,married,secondary,no,1474,yes,no,unknown,12,may,148,3,-1,0,unknown,0,0
4941,50,technician,married,tertiary,no,3117,no,no,unknown,9,jun,174,1,-1,0,unknown,0,0
12848,36,management,single,tertiary,no,953,yes,no,cellular,17,apr,72,1,346,1,other,0,0
21722,33,services,single,secondary,no,3269,no,yes,cellular,21,nov,381,1,126,1,failure,0,0
25720,29,blue-collar,single,primary,no,10,no,no,cellular,14,jul,135,3,-1,0,unknown,0,0
13716,28,technician,single,secondary,no,525,no,no,cellular,3,feb,176,2,-1,0,unknown,0,0
21621,34,housemaid,married,primary,no,4,no,no,cellular,20,aug,55,4,-1,0,unknown,0,0
19342,34,management,single,tertiary,no,705,yes,no,cellular,6,may,458,3,-1,0,unknown,0,0
20268,52,management,married,primary,no,798,yes,no,unknown,30,jun,123,2,-1,0,unknown,0,0
303,40,blue-collar,married,secondary,no,876,no,no,unknown,16,jun,208,1,-1,0,unknown,0,0
1680,37,management,single,tertiary,no,1148,yes,no,cellular,12,may,259,1,-1,0,unknown,0,0
11736,34,technician,single,secondary,no,1866,no,no,cellular,4,nov,95,1,-1,0,unknown,0,0
2338,36,unemployed,married,secondary,no,352,yes,no,cellular,4,jun,94,2,-1,0,unknown,0,0
25684,55,blue-collar,married,secondary,no,471,yes,no,unknown,30,may,58,2,-1,0,unknown,0,0
18822,27,management,single,tertiary,no,0,yes,no,cellular,30,jan,323,4,-1,0,unknown,0,0
24905,49,management,divorced,secondary,no,613,no,yes,cellular,28,jan,301,1,-1,0,unknown,0,0
1492,32,self-employed,single,tertiary,no,562,yes,yes,cellular,8,apr,84,1,-1,0,unknown,0,0
11692,44,admin.,married,secondary,no,248,no,no,unknown,6,jun,18,1,-1,0,unknown,0,0
20472,34,entrepreneur,single,secondary,no,318,yes,no,cellular,20,apr,40,1,150,2,failure,0,0
18384,45,blue-collar,single,secondary,no,91,no,yes,cellular,14,jul,55,2,-1,0,unknown,0,0
13963,31,management,single,tertiary,no,34,yes,no,cellular,28,jul,127,4,-1,0,unknown,0,0
4802,52,management,married,secondary,no,5601,no,no,cellular,4,aug,46,1,-1,0,unknown,0,0
14970,33,technician,single,tertiary,no,109,yes,yes,telephone,15,may,12,4,176,3,other,0,0
11513,68,retired,married,primary,no,7945,no,no,cellular,27,apr,252,1,181,1,failure,0,0
25321,36,services,single,primary,no,183,no,no,unknown,12,jun,167,5,-1,0,unknown,0,0
21886,40,blue-collar,divorced,secondary,no,178,yes,no,cellular,15,may,188,1,-1,0,unknown,0,0
23808,36,services,married,primary,no,179,no,no,unknown,9,jun,411,1,-1,0,unknown,0,0
17358,47,technician,married,primary,no,50,no,no,telephone,7,jul,167,3,-1,0,unknown,0,0
20016,49,services,married,tertiary,no,306,yes,no,cellular,18,aug,285,7,-1,0,unknown,0,0
2246,36,technician,married,tertiary,no,0,no,no,cellular,20,aug,245,1,-1,0,unknown,0,0
18279,39,blue-collar,married,primary,no,2862,yes,no,unknown,28,may,227,2,-1,0,unknown,0,0
15105,58,management,married,tertiary,no,0,no,no,cellular,30,jul,120,2,-1,0,unknown,0,0
20816,25,admin.,single,secondary,no,1235,yes,yes,cellular,14,may,64,1,349,3,failure,0,0
5159,39,blue-collar,single,secondary,no,1986,no,yes,unknown,19,jun,367,1,-1,0,unknown,0,0
10489,40,management,divorced,tertiary,no,492,no,yes,cellular,7,jul,125,2,-1,0,unknown,0,0
10207,33,management,married,tertiary,no,1297,yes,no,cellular,14,oct,117,1,-1,0,unknown,0,0
14436,44,admin.,divorced,secondary,no,4842,no,no,cellular,21,jul,322,4,-1,0,unknown,0,0
6955,44,blue-collar,married,secondary,no,88,yes,no,cellular,2,jul,275,1,-1,0,unknown,1,0
13992,34,management,married,tertiary,no,1666,no,no,cellular,11,aug,36,4,-1,0,unknown,0,0
18030,29,management,married,tertiary,no,4050,yes,no,unknown,28,may,166,1,-1,0,unknown,0,0
24596,61,self-employed,divorced,tertiary,no,52587,no,no,cellular,15,feb,394,3,189,1,success,1,0
24379,32,admin.,married,secondary,no,497,yes,no,unknown,23,may,92,3,-1,0,unknown,0,0
14119,27,self-employed,married,secondary,yes,254,yes,yes,cellular,29,jan,194,1,188,1,failure,0,0
21232,30,admin.,single,secondary,no,2568,no,no,cellular,4,sep,563,1,100,4,other,1,0
15942,31,management,single,tertiary,no,3340,no,no,cellular,15,sep,213,2,469,3,success,1,0
5044,48,blue-collar,married,primary,no,474,yes,yes,unknown,3,jul,414,1,-1,0,unknown,0,0
3144,39,admin.,married,secondary,no,20,yes,no,unknown,7,may,124,2,-1,0,unknown,0,0
3033,35,management,married,tertiary,no,260,no,no,cellular,7,aug,358,2,-1,0,unknown,0,0
21425,24,blue-collar,single,secondary,no,8594,yes,no,unknown,28,may,181,1,-1,0,unknown,0,0
12333,42,management,married,secondary,no,6526,no,no,cellular,18,jun,133,2,399,3,failure,0,0
5751,32,blue-collar,married,secondary,no,290,yes,no,cellular,6,may,150,1,-1,0,unknown,0,0
11172,54,technician,married,secondary,no,306,no,no,cellular,2,feb,107,1,-1,0,unknown,0,0
21484,34,blue-collar,married,secondary,no,-436,yes,no,unknown,26,may,317,1,-1,0,unknown,0,0
3114,29,blue-collar,single,secondary,no,8079,no,yes,cellular,10,jul,171,1,-1,0,unknown,0,0
1956,32,admin.,single,secondary,no,-133,yes,no,cellular,14,may,119,1,352,2,failure,0,0
25764,55,retired,married,primary,no,386,no,yes,cellular,10,jul,136,1,-1,0,unknown,0,0
5429,57,retired,married,primary,no,-171,yes,no,unknown,3,jun,397,2,-1,0,unknown,0,0
8489,58,retired,married,secondary,no,268,yes,no,unknown,7,may,516,1,-1,0,unknown,0,0
18737,40,admin.,married,secondary,no,2199,no,no,unknown,6,jun,38,3,-1,0,unknown,0,0
6165,41,management,divorced,tertiary,no,934,no,no,cellular,4,aug,93,1,-1,0,unknown,0,0
1321,52,services,married,secondary,no,627,no,no,cellular,29,aug,174,10,-1,0,unknown,0,0
26173,27,blue-collar,single,secondary,no,6010,yes,no,unknown,3,jun,604,1,-1,0,unknown,0,0
4202,34,management,married,tertiary,no,926,no,yes,cellular,2,feb,655,2,-1,0,unknown,0,0
339,26,unemployed,married,primary,no,70,yes,no,unknown,28,may,99,2,-1,0,unknown,0,0
18080,40,services,married,secondary,no,1116,yes,no,cellular,12,may,350,5,286,2,failure,0,0
8403,25,management,married,tertiary,no,784,yes,yes,unknown,12,may,104,2,-1,0,unknown,0,0
25978,36,blue-collar,married,secondary,no,412,yes,no,unknown,15,may,244,2,-1,0,unknown,0,0
15099,36,technician,married,secondary,no,1659,no,no,cellular,12,aug,126,2,-1,0,unknown,0,0
24465,29,blue-collar,married,secondary,no,358,no,no,cellular,21,jul,88,5,-1,0,unknown,0,0
6550,31,blue-collar,married,secondary,no,-13,yes,no,unknown,9,may,260,3,-1,0,unknown,0,0
16689,52,technician,married,unknown,no,7,no,no,unknown,6,may,203,2,-1,0,unknown,0,0
15927,43,housemaid,married,primary,no,0,no,yes,cellular,17,nov,836,1,129,2,failure,0,0
21576,32,technician,divorced,secondary,no,18,no,no,telephone,19,nov,20,1,177,1,failure,0,0
20209,43,technician,single,tertiary,no,1154,no,no,cellular,15,jul,603,11,-1,0,unknown,0,0
8257,20,student,single,primary,no,134,no,no,cellular,12,jul,273,1,277,3,other,0,0
3345,26,student,single,tertiary,no,193,no,no,cellular,3,apr,48,2,-1,0,unknown,0,0
109,35,technician,married,tertiary,no,358,no,no,cellular,29,aug,92,9,-1,0,unknown,0,0
4514,45,management,married,secondary,no,21,yes,no,unknown,3,jun,788,2,-1,0,unknown,0,0
1771,50,services,married,primary,no,1903,no,no,cellular,8,aug,175,2,-1,0,unknown,0,0
10821,25,student,married,tertiary,no,4923,yes,yes,cellular,19,feb,266,2,219,12,other,0,0
9805,51,blue-collar,married,secondary,no,984,yes,no,telephone,7,apr,353,4,-1,0,unknown,0,0
15464,52,admin.,married,secondary,no,7742,no,no,cellular,11,aug,149,3,-1,0,unknown,0,0
23851,38,entrepreneur,single,secondary,no,2543,no,no,cellular,10,aug,223,1,414,4,failure,1,0
21035,32,management,single,tertiary,no,1756,yes,no,unknown,21,may,206,3,-1,0,unknown,0,0
9543,34,blue-collar,married,secondary,no,584,yes,no,cellular,18,jul,154,2,-1,0,unknown,0,0
20000,59,technician,married,tertiary,no,0,no,no,cellular,18,jul,274,5,-1,0,unknown,0,0
5478,33,blue-collar,single,tertiary,no,457,yes,no,cellular,30,jan,159,1,191,4,failure,0,0
9151,36,services,divorced,secondary,yes,0,no,yes,cellular,15,jul,687,7,-1,0,unknown,1,0
22309,32,unemployed,married,secondary,no,2996,yes,no,unknown,19,may,68,1,-1,0,unknown,0,0
18503,45,blue-collar,married,secondary,no,577,yes,no,cellular,13,may,154,2,350,3,failure,0,0
11338,34,technician,married,secondary,no,210,yes,yes,cellular,12,may,211,2,173,1,failure,0,0
7057,29,admin.,divorced,secondary,no,201,yes,no,unknown,4,jun,121,3,-1,0,unknown,0,0
19788,36,blue-collar,single,secondary,no,1012,yes,yes,unknown,6,jun,399,1,-1,0,unknown,0,0
